WORD,CLUE,DIRECTION,ROW,COL
PYTHAGORAS,"IV + 3 = five",across,6,50
JEZUSCHRIST,"âœ CROSSWORD :VOL 2",down,30,26
BUCHANAN,"Anti terrorist director ×›×´×“",across,19,7
THEIONPHOS,"IÅannÄ“s eta:xii â›…",down,21,40
2PACSHAKUR,"Only God can save us",down,16,56
JEZUS,"Holy Bible(KJCV) | J=?",down,4,46
MOECHARI,"Non moechaberis rebellion",across,38,46
BMAMBAZO,"Lelilungelo Ngelakho",across,26,4
KABBALAH,"Lyf tree glyph",down,27,51
KYBALION,"Christ Hermetic lawz",across,14,57
LYTROSIS,"Efesianz xvii",across,3,2
THIEF,"Criminal on Cross with Christ",down,37,30
2PAC&SNOOP,"Most Wanted",down,22,38
NOMOTHETES,"Jezus ğŸ›ï¸:ğŸ‘ï¸z 33xxii",down,34,33
YOMDIN,"ğŸ›ï¸ ğŸ–ï¸ ğŸ˜°  âœï¸ğŸ“–ğŸ“–âœï¸ âš¡",down,24,36
DEAN&SAM,"Demon hunterz adelphoi",across,33,10
MARK1319,"Great Tribulation(âœï¸ğŸ“– Scr)",down,19,16
MEDITATE,"Be still in Christ",down,21,46
GEMATRIA,"Biblical symbology",across,12,55
BLASPHEMY,"M239|fatherpope vatican.va",across,16,35
TREAZON,"I will (ğŸ‘ï¸z.. XIV:xiii)",across,5,35
BELIAL,"Lucifer personified",across,19,32
BELLCENTRE,"Hockey spot",down,9,48
EKKLESIA,"One C XII xxvii",down,10,28
MONK,"La ligne oran du bus 15",across,23,9
INQUISITION,"Catholic crime",down,24,30
OAF,"Clumzy buddy",across,28,17
APPARITION,"Christ 3rdğŸ‘ï¸ visage",across,40,10
STYX,"God ultimate oath",down,33,23
CCCLXXVII,"377",across,0,54
KONGQIU,"å­¦è€Œä¸æ€åˆ™ç½”ï¼Œæ€è€Œä¸å­¦åˆ™æ®†",down,4,62
ADO,"She disobeyed God",down,12,16
CHRIST,"Gichi-Manidoo,",down,8,6
BDELYGMA,"Igeret X 26",across,12,45
MURDER,"Abortion clinics crime-sin",across,1,6
BIRDIE,"â€Watch u doing Hoochie?",across,5,27
RUACHOT,"Hezon IV he",across,3,30
BARBARSHOP,"Vin U-no-its-mi apl-jew-c-tuch",across,44,55
COCAINE,"Snort in satan= R14.9",down,25,14
SEPTINGENTI,"700",across,39,54
EPIPH,"Christ reincarnate",across,42,13
JUDE1V7,"Sodom acts=fate(Scr)",across,6,19
ARTICHOKE,"Stomach cleaner",across,27,20
GIZA,"Hapi mer",across,8,16
LILITH,"Rebellious woman",across,4,50
REGESH,"Feeling Christ",down,15,26
HEAVAN,"Christ's anaktoron",down,38,3
MARLEYB,"Wun â¤ï¸",down,33,44
CYCLONE,"Saar",across,37,9
INTUIT,"âœï¸Christ's âš¡ knowingness",down,29,7
TUVALU,"Disappearing country",down,39,35
DOLLYP,"Jezus & 9.81m/s2",down,30,20
JEANLUC,"Engage Tuvok",across,36,54
HTTPS,"Safe web acronym",down,8,26
HOSIOS,"uno P 119",across,0,12
OBAMAII,"Murderd Osama M521",across,12,30
SIRUIUS,"Sun  by XXV",across,10,8
ASTRAL,"Angelic realm",down,35,40
ELAH,"Divinity of Jezus Christ",across,44,9
GLONASS,"KGB ğŸ‘ï¸zz",down,21,48
BALL,"Cuban song",down,15,21
KENOSIS,"Ph beta  zeta",across,2,56
OUS,"Christ essence",down,22,50
HERB,"Original medication",across,3,23
GINSENG,"Afro  night driver",across,1,26
HARBINGER,"Hezon-XI = Christ ?",down,30,1
ZAZEN,"Christ still meditation æ—¥ã®ä¸¸",across,18,60
VESICA,"Geometric intersection",across,8,54
BERYL,"Epsilon Lion Hurricane",down,27,54
HANABI,"Mattityahu 2111",across,10,37
BIBLE,"Verbum Dei Jo 1 one",down,30,57
EXITIUM,"Ioannis Xx ten",across,29,5
MANTEIA,"Christ prophecy R iota-alpha",across,6,8
RANK,"Phylum",across,24,61
SARAF,"Bet Petros gimel:yod",down,21,3
TIGER,"Chatul Pasim",across,7,37
MONS,"VEI Mammoth Eg",down,17,12
GOSPEL,"2Pac Getto Resurrection",down,24,0
OURAN,"Cosmic firmament",across,40,45
QADOSH,"Awake in Christ	çœŸäºº",down,15,1
MURDER,"KKK white superbus crime",down,18,42
PUTIN,"Kremlin ArchAngel ĞÑ‚ĞºÑ€ 18",down,32,36
KYKEON,"1 Co 11:XXV rite",across,14,35
GNOSIS,"Christ inner recognition",across,27,59
MISOGI,"ç¦Š  Acts2v38 ç¦Š",across,22,25
OCEANUS,"Bountless river",down,5,44
SIN,"Rebelliousness",down,41,52
KYRIOS,"IÅÃ¡nnou 1916",down,17,54
JAMAICA,"Wagwan fire yesğŸ‘ï¸",down,29,61
JAMES,"The Celestine Prophecy",down,36,28
LUKE16V24,"Politican(richfool) fate(Scr)",across,43,37
NAVIS,"Liber Gene 6 XIV",down,0,21
ORPHIC,"LXXXVII odes",down,8,3
ABLEPSIA,"Alpha XIX 11",across,2,42
ORPHEUS,"Greek musician & odeic,",down,24,43
HELL,"Markos CMXLIV",across,23,18
ZODIAC,"Cosmic asterisms",across,4,14
DRUNK,"Gluttony sin E 518",across,43,26
WEIGHTS,"Gym thingz",down,29,3
ATOM,"Incisibilis",down,6,34
THALL,"Highly toxic",down,33,64
BEAUDRY,"Metro station bus 15",down,38,24
ACROSTIC,"Patterned ode Psalm 119",down,15,52
POLITICS,"Dirty & corrupt game",across,15,6
HALAKHA,"Christ talmud law",down,23,32
CHRONOS,"Time",down,36,6
NACHAM,"âœï¸Jezus's sofi hazharah ğŸŒ©ï¸",down,14,24
NAZGUL,"Jezus's ring enemy",across,44,14
TARTAR,"Beta Petrus Bet.Dalet",down,19,58
KENOMA,"Bereshit Aleph:Bet",across,21,18
GALUT,"Diaspora",across,30,60
CHEGET,"Putin yadernyy Ğ½Ğ¾ÑƒÑ‚Ğ±ÑƒĞº",down,21,34
UMZALA,"Mandela'z couzin",across,39,37
TZADIK,"Jezus title R16 V",across,0,41
HERM,"Psychopomp messenger",down,22,61
SOD,"Christ gnosis Mat 1311",down,1,40
MONAS,"Alpha C  8 stigma",across,10,20
HOYAH,"2 Be",across,10,51
NEBULA,"After blast",down,29,47
CANCER,"Lâ€™objectif des cigaretes diable",down,14,45
ZOHAR,"Mystical spheres ref",down,16,30
MOTAW,"Silymfz-wisojuz-pulova-stupd",across,36,47
SEYFERT,"M77",across,42,57
KORBAN,"ğŸ‘ï¸z : 53 Gimel-Zayin ğŸ“–âœï¸",across,43,47
SENNA,"Colon detergent â˜•",down,7,1
SATAN,"Tattooz masterminder L 22 III",across,1,0
ATEAM,"Comando-soljaz-Aproblem",across,34,44
UNITY,"Umuntu ngabantu",across,21,6
NIKE,"Theogony victory",down,14,33
BENI,"Mattityahu gimel XVii",across,17,5
BELL,"Acer ğŸ€ IP",down,12,18
EMET,"Yochanan XIv zayin",down,5,32
LIMN,"Lake",down,38,21
JSON,"Data structure",across,5,0
ICMB,"Nepreodolimyj Pozhar sila",down,29,49
SAME,"Evrim XIII chet",down,29,22
MARS,"Cosmic War",across,25,21
PECC,"Epistula ad Ro III xxiii",down,17,50
SHIN,"Divine Christ(Korean)",across,31,9
ASET,"Kemet thea",down,16,19
THOR,"Lightning myth",across,8,10
ERCH,"ApokÃ¡lypsis xxii 7",down,23,19
YEBO,"Yes | ku Zuma",across,33,38
HODI,"HaIvrim 12 kaf-tet",down,2,64
CHET,"Viii letter",across,13,11
LAMB,"Yochanan uno XXIX",across,8,21
IACTO,"Gillui XX  (5*2)",down,8,64
GRU,"Ğ Ğ°Ğ·Ğ²ĞµĞ´ĞºĞ° Ğ Ğ¾ÑÑĞ¸Ğ¸",across,35,10
CHOK,"Tehillim 19 vii",across,12,21
WIND,"Nâ‚‚+Oâ‚‚+Ar+COâ‚‚ ->",across,38,16
HOLY,"Alef Shâ€™muâ€™el II bet",across,12,39
OHM,"V/I",down,20,64
PYRO,"IÅÃ¡nnou 2015 ğŸ›ï¸  ğŸ”¥",across,2,13
DUKH,"Christ life breath Ğ”Ğ£Ğ¥",down,15,3
INI,"What? / Ndebele",down,23,63
FIDE,"Liber Ieremiae 17 Vii",across,16,61
REUS,"Devil's criminal mindset ğŸ•µï¸",across,14,47
MXM,"Tijuana cash",across,44,0
JOY,"Whitney H âœï¸ğŸ“–ğŸ“–âœï¸ song",down,16,17
MEISO,"Christ inward focus(Japan)",across,32,28
XXI,"V^2+tan(Ï€/4)âˆ’(X/2)",down,20,44
NAGA,"Touch",down,23,6
KARAV,"Sefer Shemot gimel 3",across,42,0
MOLO,"Hallo / Xhosa",across,0,33
H20,"LXX % of it",down,32,59
JAM,"M J song",down,30,34
BARA,"B'reshit aleph . aleph",down,14,59
KGB,"Putin bezopasnost",across,36,17
ZAR,"Imali ka Mandela",across,2,51
XIX,"Flight 2 â˜… annumz",down,0,19
AWE,"Add XC:XI",across,30,22
LUX,"Ioannes viii 12",down,5,48
NDAA,"Hey / Venda",across,30,14
NOW,"×›Ö¼Ö¸××Ÿ (kan)",across,40,6
PHOS,"Alpha J alpha epsilon",down,34,42
DAO,"The ä¸­å›½ way",down,20,23
SKY,"#87CEEB",across,28,56
YODA,"Meditate must sinner",down,37,10
GOD,"Jezus's Father thou Art ?",down,21,14
OS,"Rare density ore",across,6,16
SGD,"Sea lion cash",down,29,45
FLY,"Levitate",down,32,55
JUT,"Overboard",across,0,48
HO,"H2â€‹O(UV) = â€‹Hâ‹…+â‹…OH",across,13,8
AU,"CVII / $ g",across,20,58
$,"On Most transactions",down,43,20
O,"Eternity symbol",across,21,36
